Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:10:01	Flower care	18.7	42	0	372	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:10:01	Flower care	19.1	41	39	1136	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:20:02	Flower care	19.3	42	90	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:20:02	Flower care	19.5	41	58	1138	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:30:01	Flower care	19.9	43	29	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:30:01	Flower care	20.0	41	76	1128	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:40:02	Flower care	19.8	43	34	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:40:02	Flower care	20.0	41	53	1110	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:50:01	Flower care	19.2	42	90	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:50:01	Flower care	19.4	41	58	1121	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:00:01	Flower care	19.6	42	0	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:00:01	Flower care	19.8	41	97	1114	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:10:01	Flower care	20.2	42	48	361	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:10:01	Flower care	20.2	41	4	1097	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:20:01	Flower care	19.1	42	90	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:20:01	Flower care	19.0	40	56	1119	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:30:01	Flower care	19.6	42	32	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:30:01	Flower care	19.7	41	94	1102	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:40:01	Flower care	20.0	42	48	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:40:01	Flower care	20.0	41	39	1096	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 20:50:02	Flower care	19.1	43	76	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 20:50:02	Flower care	19.2	41	76	1105	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:00:01	Flower care	19.2	42	0	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:00:01	Flower care	19.4	40	95	1102	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:10:02	Flower care	19.8	42	34	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:10:02	Flower care	20.0	41	17	1091	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:20:01	Flower care	20.2	42	110	361	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:20:01	Flower care	20.2	41	58	1087	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:30:02	Flower care	18.8	42	16	369	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:30:02	Flower care	19.0	40	79	1109	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:40:01	Flower care	19.6	42	52	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:40:01	Flower care	19.7	41	39	1092	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 21:50:02	Flower care	20.0	42	90	360	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 21:50:02	Flower care	20.1	41	58	1085	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:00:01	Flower care	19.8	43	13	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:00:01	Flower care	19.7	41	94	1088	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:10:02	Flower care	19.2	42	52	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:10:02	Flower care	19.2	40	56	1091	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:20:01	Flower care	19.8	42	94	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:20:01	Flower care	19.8	41	74	1086	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:30:02	Flower care	20.1	42	32	361	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:30:02	Flower care	20.2	41	95	1073	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:40:01	Flower care	19.0	42	50	369	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:40:01	Flower care	19.1	40	37	1093	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 22:50:02	Flower care	19.3	42	74	367	100
