Position	MacAddress	Time	Name	Temperature	Moisture	Light	Conductivity	Battery
Out	C4:7C:8D:64:5D:17	2019-07-06 12:20:06	Flower care	27.7	49	8297	449	87
In	C4:7C:8D:64:76:67	2019-07-06 12:40:02	Flower care	27.2	52	71	479	100
Out	C4:7C:8D:64:5D:17	2019-07-06 12:40:04	Flower care	27.4	48	7948	452	88
In	C4:7C:8D:64:76:67	2019-07-06 13:00:02	Flower care	27.4	52	131	480	100
Out	C4:7C:8D:64:5D:17	2019-07-06 13:00:04	Flower care	27.7	47	8283	439	87
In	C4:7C:8D:64:76:67	2019-07-06 13:20:02	Flower care	27.6	52	92	480	100
Out	C4:7C:8D:64:5D:17	2019-07-06 13:20:04	Flower care	28.3	46	8570	423	90
In	C4:7C:8D:64:76:67	2019-07-06 13:40:01	Flower care	27.4	51	71	485	100
Out	C4:7C:8D:64:5D:17	2019-07-06 13:40:03	Flower care	27.5	45	5332	420	87
In	C4:7C:8D:64:76:67	2019-07-06 14:00:01	Flower care	27.4	51	52	485	100
Out	C4:7C:8D:64:5D:17	2019-07-06 14:00:04	Flower care	27.1	45	3380	409	87
In	C4:7C:8D:64:76:67	2019-07-06 14:20:02	Flower care	27.2	51	14	487	100
Out	C4:7C:8D:64:5D:17	2019-07-06 14:20:04	Flower care	27.0	43	2545	393	87
In	C4:7C:8D:64:76:67	2019-07-06 14:40:02	Flower care	27.2	51	32	487	100
Out	C4:7C:8D:64:5D:17	2019-07-06 14:40:06	Flower care	26.9	43	3265	381	86
In	C4:7C:8D:64:76:67	2019-07-06 15:00:01	Flower care	27.3	51	52	486	100
Out	C4:7C:8D:64:5D:17	2019-07-06 15:00:04	Flower care	27.1	42	4187	364	87
In	C4:7C:8D:64:76:67	2019-07-06 15:20:02	Flower care	27.0	51	32	489	100
Out	C4:7C:8D:64:5D:17	2019-07-06 15:20:06	Flower care	26.6	41	2875	358	85
In	C4:7C:8D:64:76:67	2019-07-06 15:40:01	Flower care	27.0	50	52	484	100
Out	C4:7C:8D:64:5D:17	2019-07-06 15:40:05	Flower care	26.4	41	2363	347	86
In	C4:7C:8D:64:76:67	2019-07-06 16:00:01	Flower care	26.9	50	14	485	100
Out	C4:7C:8D:64:5D:17	2019-07-06 16:00:04	Flower care	26.3	40	1323	343	88
In	C4:7C:8D:64:76:67	2019-07-06 16:20:02	Flower care	26.9	50	17	485	100
Out	C4:7C:8D:64:5D:17	2019-07-06 16:20:04	Flower care	26.2	40	901	338	86
In	C4:7C:8D:64:76:67	2019-07-06 16:40:01	Flower care	26.7	50	14	487	100
Out	C4:7C:8D:64:5D:17	2019-07-06 16:40:04	Flower care	25.4	39	1031	335	84
In	C4:7C:8D:64:76:67	2019-07-06 17:00:01	Flower care	26.7	50	14	484	100
Out	C4:7C:8D:64:5D:17	2019-07-06 17:00:05	Flower care	25.5	38	665	329	83
In	C4:7C:8D:64:76:67	2019-07-06 17:20:01	Flower care	26.2	50	17	486	100
Out	C4:7C:8D:64:5D:17	2019-07-06 17:20:05	Flower care	23.9	38	747	331	82
In	C4:7C:8D:64:76:67	2019-07-06 17:40:01	Flower care	26.5	50	14	484	99
Out	C4:7C:8D:64:5D:17	2019-07-06 17:40:04	Flower care	23.8	37	747	330	79
In	C4:7C:8D:64:76:67	2019-07-06 18:00:01	Flower care	27.4	50	32	475	100
Out	C4:7C:8D:64:5D:17	2019-07-06 18:00:07	Flower care	23.0	37	728	329	81
In	C4:7C:8D:64:76:67	2019-07-06 18:20:01	Flower care	27.1	50	16	480	100
Out	C4:7C:8D:64:5D:17	2019-07-06 18:20:06	Flower care	21.8	38	491	331	77
In	C4:7C:8D:64:76:67	2019-07-06 18:40:01	Flower care	26.4	50	14	487	100
Out	C4:7C:8D:64:5D:17	2019-07-06 18:40:04	Flower care	21.2	37	478	331	69
In	C4:7C:8D:64:76:67	2019-07-06 19:00:01	Flower care	25.7	50	14	493	100
Out	C4:7C:8D:64:5D:17	2019-07-06 19:00:04	Flower care	21.1	37	283	328	66
In	C4:7C:8D:64:76:67	2019-07-06 19:20:02	Flower care	26.1	50	0	489	100
Out	C4:7C:8D:64:5D:17	2019-07-06 19:20:06	Flower care	20.7	36	210	332	64
In	C4:7C:8D:64:76:67	2019-07-06 19:40:01	Flower care	26.7	50	14	482	100
Out	C4:7C:8D:64:5D:17	2019-07-06 19:40:03	Flower care	21.1	36	97	327	77
In	C4:7C:8D:64:76:67	2019-07-06 20:00:01	Flower care	25.9	50	14	489	100
Out	C4:7C:8D:64:5D:17	2019-07-06 20:00:03	Flower care	21.1	36	171	326	66
In	C4:7C:8D:64:76:67	2019-07-06 20:20:01	Flower care	25.0	49	55	492	99
Out	C4:7C:8D:64:5D:17	2019-07-06 20:20:05	Flower care	21.1	36	158	325	71
In	C4:7C:8D:64:76:67	2019-07-06 20:40:01	Flower care	24.7	49	14	492	99
Out	C4:7C:8D:64:5D:17	2019-07-06 20:40:07	Flower care	21.0	36	152	326	78
In	C4:7C:8D:64:76:67	2019-07-06 21:00:02	Flower care	24.1	49	35	493	99
Out	C4:7C:8D:64:5D:17	2019-07-06 21:00:04	Flower care	21.2	36	174	320	71
In	C4:7C:8D:64:76:67	2019-07-06 21:20:02	Flower care	23.8	49	14	490	99
Out	C4:7C:8D:64:5D:17	2019-07-06 21:20:04	Flower care	20.2	35	194	326	59
In	C4:7C:8D:64:76:67	2019-07-06 21:40:02	Flower care	24.2	49	32	482	99
Out	C4:7C:8D:64:5D:17	2019-07-06 21:40:04	Flower care	20.1	35	99	326	61
In	C4:7C:8D:64:76:67	2019-07-06 22:00:01	Flower care	24.3	49	35	481	99
Out	C4:7C:8D:64:5D:17	2019-07-06 22:00:05	Flower care	19.7	36	193	330	62
In	C4:7C:8D:64:76:67	2019-07-06 22:20:01	Flower care	24.1	47	14	483	99
Out	C4:7C:8D:64:5D:17	2019-07-06 22:20:05	Flower care	19.9	36	159	328	62
In	C4:7C:8D:64:76:67	2019-07-06 22:40:02	Flower care	23.6	47	17	482	99
Out	C4:7C:8D:64:5D:17	2019-07-06 22:40:04	Flower care	19.9	36	197	328	59
In	C4:7C:8D:64:76:67	2019-07-06 23:00:02	Flower care	23.5	47	14	483	99
Out	C4:7C:8D:64:5D:17	2019-07-06 23:00:03	Flower care	19.7	36	0	329	57
In	C4:7C:8D:64:76:67	2019-07-06 23:20:02	Flower care	23.0	46	0	484	98
Out	C4:7C:8D:64:5D:17	2019-07-06 23:20:06	Flower care	20.0	36	174	325	62
In	C4:7C:8D:64:76:67	2019-07-06 23:40:02	Flower care	23.0	46	17	482	99
Out	C4:7C:8D:64:5D:17	2019-07-06 23:40:05	Flower care	20.0	36	35	323	59
In	C4:7C:8D:64:76:67	2019-07-07 00:00:02	Flower care	23.1	46	34	476	99
Out	C4:7C:8D:64:5D:17	2019-07-07 00:00:07	Flower care	20.2	36	52	324	59
In	C4:7C:8D:64:76:67	2019-07-07 00:20:02	Flower care	23.3	46	17	474	98
Out	C4:7C:8D:64:5D:17	2019-07-07 00:20:04	Flower care	20.3	36	174	321	73
In	C4:7C:8D:64:76:67	2019-07-07 00:40:02	Flower care	23.8	46	17	470	99
Out	C4:7C:8D:64:5D:17	2019-07-07 00:40:04	Flower care	20.4	36	159	319	61
In	C4:7C:8D:64:76:67	2019-07-07 01:00:02	Flower care	23.7	46	14	471	99
Out	C4:7C:8D:64:5D:17	2019-07-07 01:00:07	Flower care	20.6	35	193	322	68
In	C4:7C:8D:64:76:67	2019-07-07 01:20:01	Flower care	24.0	46	0	469	99
Out	C4:7C:8D:64:5D:17	2019-07-07 01:20:06	Flower care	20.7	36	53	319	64
In	C4:7C:8D:64:76:67	2019-07-07 01:40:01	Flower care	24.4	46	17	467	99
Out	C4:7C:8D:64:5D:17	2019-07-07 01:40:03	Flower care	20.9	35	155	316	69
In	C4:7C:8D:64:76:67	2019-07-07 02:00:02	Flower care	24.0	46	34	474	99
Out	C4:7C:8D:64:5D:17	2019-07-07 02:00:05	Flower care	21.2	36	117	315	77
In	C4:7C:8D:64:76:67	2019-07-07 02:20:02	Flower care	24.0	46	14	474	99
Out	C4:7C:8D:64:5D:17	2019-07-07 02:20:05	Flower care	21.1	35	139	314	66
In	C4:7C:8D:64:76:67	2019-07-07 02:40:01	Flower care	24.2	46	14	472	99
Out	C4:7C:8D:64:5D:17	2019-07-07 02:40:05	Flower care	20.8	35	174	316	64
In	C4:7C:8D:64:76:67	2019-07-07 03:00:02	Flower care	25.3	47	0	462	99
Out	C4:7C:8D:64:5D:17	2019-07-07 03:00:04	Flower care	21.0	35	172	311	62
In	C4:7C:8D:64:76:67	2019-07-07 03:20:02	Flower care	25.7	47	0	464	99
Out	C4:7C:8D:64:5D:17	2019-07-07 03:20:05	Flower care	21.0	35	172	311	64
In	C4:7C:8D:64:76:67	2019-07-07 03:40:02	Flower care	26.1	47	35	465	99
Out	C4:7C:8D:64:5D:17	2019-07-07 03:40:03	Flower care	20.9	35	177	311	64
In	C4:7C:8D:64:76:67	2019-07-07 04:00:02	Flower care	26.1	47	0	468	99
Out	C4:7C:8D:64:5D:17	2019-07-07 04:00:05	Flower care	21.0	35	158	307	59
In	C4:7C:8D:64:76:67	2019-07-07 04:20:02	Flower care	26.2	47	0	467	99
Out	C4:7C:8D:64:5D:17	2019-07-07 04:20:04	Flower care	20.9	35	0	308	68
In	C4:7C:8D:64:76:67	2019-07-07 04:40:01	Flower care	26.4	47	35	467	99
Out	C4:7C:8D:64:5D:17	2019-07-07 04:40:03	Flower care	20.9	35	193	310	68
In	C4:7C:8D:64:76:67	2019-07-07 05:00:02	Flower care	26.5	47	14	471	99
Out	C4:7C:8D:64:5D:17	2019-07-07 05:00:04	Flower care	21.1	35	232	305	64
In	C4:7C:8D:64:76:67	2019-07-07 05:20:01	Flower care	26.5	47	14	471	99
Out	C4:7C:8D:64:5D:17	2019-07-07 05:20:03	Flower care	21.1	35	194	304	64
In	C4:7C:8D:64:76:67	2019-07-07 05:40:01	Flower care	26.5	47	34	471	99
Out	C4:7C:8D:64:5D:17	2019-07-07 05:40:05	Flower care	21.1	35	1245	305	64
In	C4:7C:8D:64:76:67	2019-07-07 06:00:01	Flower care	26.7	47	0	472	99
Out	C4:7C:8D:64:5D:17	2019-07-07 06:00:06	Flower care	21.3	35	1304	304	69
In	C4:7C:8D:64:76:67	2019-07-07 06:20:01	Flower care	26.6	47	17	473	99
Out	C4:7C:8D:64:5D:17	2019-07-07 06:20:04	Flower care	21.4	35	1386	303	66
In	C4:7C:8D:64:76:67	2019-07-07 06:40:01	Flower care	26.4	47	17	475	99
Out	C4:7C:8D:64:5D:17	2019-07-07 06:40:03	Flower care	21.7	34	3350	300	68
In	C4:7C:8D:64:76:67	2019-07-07 07:00:02	Flower care	26.3	47	0	476	99
Out	C4:7C:8D:64:5D:17	2019-07-07 07:00:04	Flower care	21.9	34	2892	296	73
In	C4:7C:8D:64:76:67	2019-07-07 07:20:01	Flower care	26.4	47	14	475	99
Out	C4:7C:8D:64:5D:17	2019-07-07 07:20:03	Flower care	22.6	35	3019	294	73
In	C4:7C:8D:64:76:67	2019-07-07 07:40:01	Flower care	26.4	47	14	475	99
Out	C4:7C:8D:64:5D:17	2019-07-07 07:40:03	Flower care	23.1	35	7240	291	77
In	C4:7C:8D:64:76:67	2019-07-07 08:00:01	Flower care	26.1	47	35	475	99
Out	C4:7C:8D:64:5D:17	2019-07-07 08:00:07	Flower care	23.1	35	3694	294	78
In	C4:7C:8D:64:76:67	2019-07-07 08:20:02	Flower care	25.8	47	35	477	99
Out	C4:7C:8D:64:5D:17	2019-07-07 08:20:04	Flower care	23.4	35	5497	290	77
In	C4:7C:8D:64:76:67	2019-07-07 08:40:02	Flower care	25.8	47	17	476	99
Out	C4:7C:8D:64:5D:17	2019-07-07 08:40:04	Flower care	23.8	35	5347	290	77
In	C4:7C:8D:64:76:67	2019-07-07 09:00:01	Flower care	26.1	47	17	473	99
Out	C4:7C:8D:64:5D:17	2019-07-07 09:00:04	Flower care	23.9	35	5171	287	82
In	C4:7C:8D:64:76:67	2019-07-07 09:20:01	Flower care	25.9	47	34	472	99
Out	C4:7C:8D:64:5D:17	2019-07-07 09:20:03	Flower care	23.8	35	2902	286	77
In	C4:7C:8D:64:76:67	2019-07-07 09:40:01	Flower care	25.9	47	14	472	99
Out	C4:7C:8D:64:5D:17	2019-07-07 09:40:06	Flower care	22.2	34	3949	290	75
In	C4:7C:8D:64:76:67	2019-07-07 10:00:01	Flower care	26.3	47	17	466	99
Out	C4:7C:8D:64:5D:17	2019-07-07 10:00:07	Flower care	24.2	35	7543	280	78
In	C4:7C:8D:64:76:67	2019-07-07 10:20:01	Flower care	26.1	47	55	468	99
Out	C4:7C:8D:64:5D:17	2019-07-07 10:20:03	Flower care	24.8	35	6424	275	80
In	C4:7C:8D:64:76:67	2019-07-07 10:40:02	Flower care	26.0	47	52	469	99
Out	C4:7C:8D:64:5D:17	2019-07-07 10:40:06	Flower care	26.1	34	6929	270	83
In	C4:7C:8D:64:76:67	2019-07-07 11:00:02	Flower care	26.1	47	55	468	99
Out	C4:7C:8D:64:5D:17	2019-07-07 11:00:04	Flower care	25.7	34	4138	272	83
In	C4:7C:8D:64:76:67	2019-07-07 11:20:01	Flower care	26.3	47	74	463	99
Out	C4:7C:8D:64:5D:17	2019-07-07 11:20:17	Flower care	26.5	34	3474	265	84
In	C4:7C:8D:64:76:67	2019-07-07 11:40:02	Flower care	26.4	47	35	465	99
Out	C4:7C:8D:64:5D:17	2019-07-07 11:40:03	Flower care	26.9	34	4402	262	86
In	C4:7C:8D:64:76:67	2019-07-07 12:00:01	Flower care	26.6	47	74	464	99
Out	C4:7C:8D:64:5D:17	2019-07-07 12:00:05	Flower care	27.5	35	6182	259	86
In	C4:7C:8D:64:76:67	2019-07-07 12:20:01	Flower care	26.7	47	94	463	99
Out	C4:7C:8D:64:5D:17	2019-07-07 12:20:04	Flower care	27.9	35	5852	255	87
In	C4:7C:8D:64:76:67	2019-07-07 12:40:01	Flower care	26.7	47	55	463	99
Out	C4:7C:8D:64:5D:17	2019-07-07 12:40:04	Flower care	27.4	34	2069	255	85
In	C4:7C:8D:64:76:67	2019-07-07 13:00:02	Flower care	26.2	47	74	464	99
