Position	MacAddress	Time	Name	Temperature	Moisture	Light	Conductivity	Battery
Out	C4:7C:8D:64:5D:17	2019-07-08 01:20:03	Flower care	21.5	30	178	218	68
In	C4:7C:8D:64:76:67	2019-07-08 01:40:02	Flower care	27.2	46	17	443	99
Out	C4:7C:8D:64:5D:17	2019-07-08 01:40:04	Flower care	21.5	30	81	215	64
In	C4:7C:8D:64:76:67	2019-07-08 02:00:01	Flower care	27.1	45	17	444	99
Out	C4:7C:8D:64:5D:17	2019-07-08 02:00:03	Flower care	21.3	30	172	216	62
In	C4:7C:8D:64:76:67	2019-07-08 02:20:02	Flower care	27.4	46	35	442	99
Out	C4:7C:8D:64:5D:17	2019-07-08 02:20:03	Flower care	21.4	30	174	213	68
In	C4:7C:8D:64:76:67	2019-07-08 02:40:02	Flower care	27.4	46	14	442	99
Out	C4:7C:8D:64:5D:17	2019-07-08 02:40:04	Flower care	21.4	30	191	213	68
In	C4:7C:8D:64:76:67	2019-07-08 03:00:02	Flower care	27.4	45	17	440	99
Out	C4:7C:8D:64:5D:17	2019-07-08 03:00:05	Flower care	21.4	30	174	213	68
In	C4:7C:8D:64:76:67	2019-07-08 03:20:02	Flower care	27.4	45	17	440	99
Out	C4:7C:8D:64:5D:17	2019-07-08 03:20:07	Flower care	21.3	30	178	213	64
In	C4:7C:8D:64:76:67	2019-07-08 03:40:02	Flower care	27.4	45	0	440	99
Out	C4:7C:8D:64:5D:17	2019-07-08 03:40:06	Flower care	21.4	30	159	213	64
In	C4:7C:8D:64:76:67	2019-07-08 04:00:02	Flower care	27.4	45	34	440	99
Out	C4:7C:8D:64:5D:17	2019-07-08 04:00:04	Flower care	21.5	30	177	213	75
In	C4:7C:8D:64:76:67	2019-07-08 04:20:02	Flower care	27.4	46	0	437	99
Out	C4:7C:8D:64:5D:17	2019-07-08 04:20:06	Flower care	21.5	30	186	210	75
In	C4:7C:8D:64:76:67	2019-07-08 04:40:01	Flower care	27.1	45	17	442	99
Out	C4:7C:8D:64:5D:17	2019-07-08 04:40:06	Flower care	21.3	30	193	213	66
In	C4:7C:8D:64:76:67	2019-07-08 05:00:02	Flower care	27.1	45	35	439	99
Out	C4:7C:8D:64:5D:17	2019-07-08 05:00:05	Flower care	21.1	30	304	211	64
In	C4:7C:8D:64:76:67	2019-07-08 05:20:02	Flower care	27.1	45	17	439	99
Out	C4:7C:8D:64:5D:17	2019-07-08 05:20:06	Flower care	21.2	30	611	211	61
In	C4:7C:8D:64:76:67	2019-07-08 05:40:01	Flower care	27.1	45	14	438	99
Out	C4:7C:8D:64:5D:17	2019-07-08 05:40:06	Flower care	21.3	30	1111	210	62
In	C4:7C:8D:64:76:67	2019-07-08 06:00:02	Flower care	27.1	45	17	435	99
Out	C4:7C:8D:64:5D:17	2019-07-08 06:00:04	Flower care	21.8	30	1416	208	66
In	C4:7C:8D:64:76:67	2019-07-08 06:20:02	Flower care	27.1	45	55	433	99
Out	C4:7C:8D:64:5D:17	2019-07-08 06:20:04	Flower care	22.2	29	2013	210	68
In	C4:7C:8D:64:76:67	2019-07-08 06:40:02	Flower care	27.1	45	17	433	99
Out	C4:7C:8D:64:5D:17	2019-07-08 06:40:05	Flower care	23.0	30	2567	209	71
In	C4:7C:8D:64:76:67	2019-07-08 07:00:01	Flower care	26.6	45	17	439	99
Out	C4:7C:8D:64:5D:17	2019-07-08 07:00:04	Flower care	23.4	30	2966	207	78
In	C4:7C:8D:64:76:67	2019-07-08 07:20:01	Flower care	26.1	45	53	438	99
Out	C4:7C:8D:64:5D:17	2019-07-08 07:20:18	Flower care	23.9	30	3236	209	80
In	C4:7C:8D:64:76:67	2019-07-08 07:40:01	Flower care	26.4	45	0	436	99
Out	C4:7C:8D:64:5D:17	2019-07-08 07:40:04	Flower care	24.5	30	3733	204	82
In	C4:7C:8D:64:76:67	2019-07-08 08:00:02	Flower care	26.6	45	35	429	99
Out	C4:7C:8D:64:5D:17	2019-07-08 08:00:05	Flower care	25.2	30	4029	203	83
In	C4:7C:8D:64:76:67	2019-07-08 08:20:01	Flower care	26.6	45	34	432	98
Out	C4:7C:8D:64:5D:17	2019-07-08 08:20:07	Flower care	25.2	30	3722	204	80
In	C4:7C:8D:64:76:67	2019-07-08 08:40:01	Flower care	26.7	45	17	429	99
Out	C4:7C:8D:64:5D:17	2019-07-08 08:40:03	Flower care	25.5	30	4656	202	80
In	C4:7C:8D:64:76:67	2019-07-08 09:00:01	Flower care	26.9	45	35	427	99
Out	C4:7C:8D:64:5D:17	2019-07-08 09:00:04	Flower care	25.9	30	4508	201	80
In	C4:7C:8D:64:76:67	2019-07-08 09:20:02	Flower care	26.8	45	34	426	99
Out	C4:7C:8D:64:5D:17	2019-07-08 09:20:03	Flower care	26.4	30	4454	199	83
In	C4:7C:8D:64:76:67	2019-07-08 09:40:01	Flower care	27.0	45	17	426	99
Out	C4:7C:8D:64:5D:17	2019-07-08 09:40:03	Flower care	26.8	30	3675	195	83
In	C4:7C:8D:64:76:67	2019-07-08 10:00:01	Flower care	27.1	45	17	425	99
Out	C4:7C:8D:64:5D:17	2019-07-08 10:00:04	Flower care	27.2	30	3965	196	84
In	C4:7C:8D:64:76:67	2019-07-08 10:20:01	Flower care	27.1	45	110	425	99
Out	C4:7C:8D:64:5D:17	2019-07-08 10:20:03	Flower care	27.4	30	4069	193	85
In	C4:7C:8D:64:76:67	2019-07-08 10:40:01	Flower care	27.2	45	74	425	99
Out	C4:7C:8D:64:5D:17	2019-07-08 10:40:05	Flower care	28.1	30	3879	190	87
In	C4:7C:8D:64:76:67	2019-07-08 11:00:01	Flower care	27.4	45	90	423	99
Out	C4:7C:8D:64:5D:17	2019-07-08 11:00:05	Flower care	28.8	30	3761	188	87
In	C4:7C:8D:64:76:67	2019-07-08 11:20:01	Flower care	27.6	45	112	421	99
Out	C4:7C:8D:64:5D:17	2019-07-08 11:20:05	Flower care	29.3	29	4204	188	88
In	C4:7C:8D:64:76:67	2019-07-08 11:40:02	Flower care	27.7	45	112	420	99
Out	C4:7C:8D:64:5D:17	2019-07-08 11:40:05	Flower care	29.7	30	5940	186	90
